company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAINING DAYS LIMITED,7831100,dissolved,ltd,26-04-2016,01-11-2011,['85590'],,1 - 5 Nelson Street,Southend On Sea,SS1 1EF,,Essex,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUSION CHILDCARE SERVICES,7830535,active,private-limited-guarant-nsc-limited-exemption,,01-11-2011,['85590'],,45 Cranbourne Drive,Harpenden,AL5 1RJ,,Hertfordshire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKS DEVELOPMENT TRUST,7831365,dissolved,private-limited-guarant-nsc-limited-exemption,03-08-2021,01-11-2011,['85590'],,21 Kyrle Road,London,SW11 6BD,,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINGED SOLUTIONS LTD,7832539,dissolved,ltd,17-01-2017,02-11-2011,['85590'],,121 Latham Road,Bexleyheath,DA6 7NH,,Kent,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERRY TREE KIDS CLUB LTD,7833193,dissolved,ltd,11-06-2019,03-11-2011,['85590'],,46a Barnes Cray Road,Dartford,DA1 4NR,,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEACON HILL TRAINING LIMITED,7836258,dissolved,ltd,06-07-2021,04-11-2011,"['85590', ' 88990']",,73 The Willows Marton,Middlesbrough,TS7 8BP,,Cleveland,United Kingdom,85590,88990,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY 4 HOUSING,7837202,dissolved,private-limited-guarant-nsc-limited-exemption,04-10-2016,07-11-2011,['85590'],,Premier House,Twickenham,TW1 3RP,52 London Road,Middlesex,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL BARAKAH EDUCATION LTD,7839599,dissolved,ltd,26-04-2022,08-11-2011,['85590'],,27 Woodhall Avenue,Pinner,HA5 3DY,,,England,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST TUTORING LIMITED,7838981,dissolved,ltd,17-03-2015,08-11-2011,['85590'],,Chandler House 7 Ferry Road Office Park,Preston,PR2 2YH,Riversway,Lancashire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAJ LIMITED,7839338,dissolved,ltd,28-02-2017,08-11-2011,['85590'],,15 Horse Bank Drive,Huddersfield,HD4 5HN,Lockwood,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENBURY SCHOOL,7838126,dissolved,private-limited-guarant-nsc-limited-exemption,20-10-2020,07-11-2011,['85590'],,Henbury School Station Road,Bristol,BS10 7QH,Henbury,Avon,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORK AND TRAIN LTD,7838414,dissolved,ltd,16-05-2017,08-11-2011,['85590'],,16 Westmorland Street,Wakefield,WF1 1PJ,,West Yorkshire,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I B TRAINING LIMITED,7841617,dissolved,ltd,15-08-2017,10-11-2011,['85590'],,3 Gorrell Close,Burnley,BB12 9LZ,Newchurch-In-Pendle,,England,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUCATIONAL ENTERPRISES LIMITED,7846946,dissolved,ltd,10-03-2020,14-11-2011,['85590'],,89 Anderton Park Road,Birmingham,B13 9DS,Moseley,,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASSION INC. LIMITED,7847607,dissolved,ltd,28-08-2018,15-11-2011,['85590'],,Flat 7 Crescent House,Margate,CT9 2NP,Nightingale Place,Kent,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDCRAFT LTD,7852558,dissolved,ltd,16-03-2021,18-11-2011,['85590'],,106 Minehead Way,Stevenage,SG1 2JH,,,England,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHIEVE CHANGE & ENGAGEMENT ACE,7848785,converted-closed,converted-or-closed,12-05-2021,15-11-2011,['85590'],,18 Sun Street,Lancaster,LA1 1EW,,Lancashire,England,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOCATIONAL AND PROFESSIONAL QUALIFICATIONS LIMITED,7850894,dissolved,ltd,17-01-2017,17-11-2011,['85590'],,Office-8 10-Buckhurst Road,Bexhill-On-Sea,TN40 1QF,,East Sussex,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.A.S.S (PERSONAL ACHIEVEMENT SOCIAL SUCCESS) COMMUNITY INTEREST COMPANY,7854796,dissolved,private-limited-guarant-nsc,04-02-2020,21-11-2011,['85590'],community-interest-company,"18, Spencer Avenue",Hayes,UB4 0QX,,Middlesex,,85590,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROWE FARM LIMITED,7848616,active,ltd,,15-11-2011,['46330'],,The Rowe Farm,Newcastle Under Lyme,ST5 4EN,Stableford,Staffordshire,,46330,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONWIDE DISPOSABLES LIMITED,7804655,dissolved,ltd,15-03-2022,11-10-2011,['46420'],,1 Upper Aston,Wolverhampton,WV5 7EE,Claverley,,England,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S & A CASUAL LTD,7805762,dissolved,ltd,02-01-2018,11-10-2011,['46420'],,15 Collingham Street,Manchester,M8 8RQ,,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPIA DESIGN UK LTD,7806643,dissolved,ltd,28-08-2018,12-10-2011,['46420'],,105 Whitechapel Road,London,E1 1DT,,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANGE FASHION LTD,7808426,dissolved,ltd,23-03-2021,13-10-2011,['46420'],,17 Skylines Village Top Tie Trading Uk Ltd,London,E14 9TS,17 Skylines Village,,United Kingdom,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIC UNIQUE LIMITED,7813995,dissolved,ltd,23-05-2017,18-10-2011,['46420'],,113 Bracadale Drive,Stockport,SK3 8RY,,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEPFOLA INVESTMENT LTD,7812715,dissolved,ltd,27-03-2018,17-10-2011,['46420'],,Eurolink Business Centre Unit 50,London,SW2 1BZ,49 Effra Road,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANDARD ISSUE LIMITED,7818395,dissolved,ltd,17-02-2015,20-10-2011,['46420'],,1st Floor Northern Assurance Buildings,Manchester,M2 4DN,9 - 21 Princess Street Albert Square,Lancs,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAS BODY DEVELOPMENT LIMITED,7819505,active,ltd,,21-10-2011,['46420'],,"Beaumont Accountancy First Floor, Enterprise House",Middlesbrough,TS1 3QW,202-206 Linthorpe Road,Cleveland,England,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-WEAR LTD,7825781,dissolved,ltd,15-03-2022,27-10-2011,"['46420', ' 70229']",,Acre House,London,NW1 3ER,11/15 William Road,,United Kingdom,46420,70229,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOAY INVESTMENT LTD,7829270,dissolved,ltd,07-03-2017,31-10-2011,['46420'],,54 Melbourne Court,London,SE20 8AS,Anerley Road,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDSORCHID LIMITED,7829579,dissolved,ltd,25-04-2017,31-10-2011,['46420'],,355a Barking Road,London,E6 1LA,East Ham,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRI T SCRUB LIMITED,7854506,dissolved,ltd,04-12-2018,21-11-2011,['46420'],,Ground Floor 2 Woodberry Grove,London,N12 0DR,North Finchley,,,46420,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEETHAM FOODSTORES LIMITED,7810224,dissolved,ltd,30-09-2014,14-10-2011,['47210'],,378 Cheetham Hill Road,Manchester,M8 9LS,,,England,47210,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERRARDS GREENGROCERS LIMITED,7825373,dissolved,ltd,20-01-2015,27-10-2011,['47210'],,75-77 Church Street,Wolverhampton,WV14 0BJ,Bilston,West Midlands,England,47210,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHEND BANGLA BAZAAR LIMITED,7829430,dissolved,ltd,05-01-2016,31-10-2011,['47210'],,519 London Road,Westcliff-On-Sea,SS0 9LJ,,Essex,,47210,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY FAYRE (YORK) LIMITED,7853014,dissolved,ltd,15-03-2016,18-11-2011,"['47210', ' 47760', ' 62020']",,35 Green Lane,York,YO24 3DA,Acomb,North Yorkshire,,47210,47760,62020,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELIN FOOD CENTRE LIMITED,7855507,dissolved,ltd,08-01-2019,21-11-2011,['47210'],,Pixel Building,Waltham Abbey,EN9 1JH,110 Brooker Road,Essex,England,47210,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATROTEC PROFESSIONAL LEARNING LTD,7830596,dissolved,ltd,05-07-2022,01-11-2011,"['85421', ' 85422', ' 85590', ' 86900']",,104 Harewood Avenue,Bournemouth,BH7 6NS,,,,85421,85422,85590,86900,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWTSD LEARNING CENTRES LTD,7853426,dissolved,ltd,12-10-2021,18-11-2011,"['85421', ' 85422', ' 85590']",,Carmarthen Campus,Carmarthen,SA31 3EP,College Road,Carmarthenshire,,85421,85422,85590,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106 BUSINESS SOLUTIONS LIMITED,10905688,Active,ltd,,08-08-2017,[46310],,86 - 90 PAUL STREET,LONDON,EC2A 4NE,3RD FLOOR,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 - 14 THAYER STREET LIMITED,11691086,Active,ltd,,22-11-2018,[46310],,31 ELM AVENUE,RUISLIP,HA4 8PE,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 LIMITED,9036248,Active,ltd,,13-05-2014,[46310],,29 BARLOW DRIVE,LONDON,SE18 4NE,,England,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 VEG LTD,14318873,Active,ltd,,25-08-2022,[46310],,43 KYNASTON AVENUE,THORNTON HEATH,CR7 7BZ,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 SEVEN FOOD SERVICE LIMITED,11283905,Active,ltd,,29-03-2018,[46310],,1 HEATHCOTE,BOURNEMOUTH,BH5 1EZ,2 HEATHCOTE ROAD,Dorset,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A&M LIMITED,13334244,Active,ltd,,14-04-2021,[46310],,14B PORTLAND HOUSE,HIGH WYCOMBE,HP13 6DQ,ARNISON AVENUE,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2SERVE WHOLESALE LTD,5752939,Active,ltd,,23-03-2006,[46310],,A60-A61 NEW COVENT GARDEN MARKET FRUIT & VEGETABLE MARKET,LONDON,SW8 5EE,VAUXHALL,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 B'S FOOD GROUP LTD,12273136,Active,ltd,,21-10-2019,[46310],,27 ST. CUTHBERTS STREET,BEDFORD,MK40 3JG,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323 DISCOUNTS LTD,14442070,Active,ltd,,25-10-2022,[46310],,487 LINCOLN ROAD,PETERBOROUGH,PE1 2PE,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DS FRUIT & VEG INTERNATIONAL LTD,7966323,Active - Proposal to Strike off,ltd,,27-02-2012,[46310],,60 VICTORIA AVENUE,LONDON,E6 1EY,,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3J RETAIL LTD,11926462,Active - Proposal to Strike off,ltd,,04-04-2019,[46310],,TURNPIKE OFF LICENSE,LEIGH-ON-SEA,SS9 2UA,1206 LONDON ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 SEASONS DELI LTD,14489031,Active,ltd,,16-11-2022,[46310],,178 MITCHAM ROAD,LONDON,SW17 9NJ,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4SEVEN PROCUREMENT AND LOGISTICS LTD,13704589,Active - Proposal to Strike off,ltd,,26-10-2021,[46310],,45 WHEELER STREET,ASHFORD,TN27 9ST,HEADCORN,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 STAR FRUIT AND VEG (SPITALFIELDS) LTD,7843777,Active,ltd,,11-11-2011,[46310],,416 GREEN LANE,ILFORD,IG3 9JX,,Essex,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 STAR FRUIT AND VEG LONDON LTD,8500317,Active,ltd,,23-04-2013,[46310],,416 GREEN LANE,ILFORD,IG3 9JX,,Essex,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 STAR FRUIT AND VEG TRADING LTD,8457960,Active,ltd,,22-03-2013,[46310],,416 GREEN LANE,ILFORD,IG3 9JX,,Essex,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5STAR GENERAL SUPPLIES LTD,12788339,Active,ltd,,03-08-2020,[46310],,47 FARMILO ROAD,LONDON,E17 8JL,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5TOWNS FRUIT AND VEG LIMITED,10350781,Active,ltd,,30-08-2016,[46310],,4B GRENLEY STREET,KNOTTINGLEY,WF11 8AX,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 HILLS WHOLESALE AND DISTRIBUTION LTD,13855854,Active,ltd,,18-01-2022,[46310],,UNIT 2,SHEFIELD,S6 1JF,BAXTER ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 STAR FOODS LIMITED,9904081,Active,ltd,,07-12-2015,[46310],,299A BETHNAL GREEN ROAD,LONDON,E2 6AH,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786HYE LIMITED,11134306,Active,ltd,,05-01-2018,[46310],,2 PARK AVENUE,ILFORD,IG1 4RT,1C VALEBROOK,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95 LONGITUDE LTD,14145252,Active,ltd,,01-06-2022,[46310],,150 CHURCH ROAD,ST. HELENS,WA11 0LA,HAYDOCK,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9AIJAM LTD,8976701,Active - Proposal to Strike off,ltd,,03-04-2014,[46310],,639 HIGH ROAD LEYTON,LONDON,E10 6RF,LEYTON,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & B POTATOES LIMITED,8200627,Active,ltd,,04-09-2012,[46310],,TREMABYN,SALTASH,PL12 4RT,TREMATON,Cornwall,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & F BD INTERNATIONAL LIMITED,13490850,Active,ltd,,02-07-2021,[46310],,12 PORTIA WAY,LONDON,E3 4JH,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & H FOOD SUPPLIERS LTD,12723673,Active,ltd,,06-07-2020,[46310],,174 ARISDALE AVENUE,SOUTH OCKENDON,RM15 5FE,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & H FRUIT WHOLESALES LIMITED,10527423,Active,ltd,,15-12-2016,[46310],,"18 ST. JAMES'S MARKET, ESSEX STREET",BRADFORD,BD4 7PN,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N TRADING LIMITED,14490433,Active,ltd,,17-11-2022,[46310],,FLAT 21 ASHWOOD HOUSE,LONDON,NW4 2BD,BELLE VUE ESTATE,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & R FRUITS AND VEG MERCHANTS LTD,13954462,Active,ltd,,04-03-2022,[46310],,FIRST FLOOR,BIRMINGHAM,B6 6JB,2 BEVINGTON ROAD,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & R PRODUCE IMPORT LIMITED,13007632,Active - Proposal to Strike off,ltd,,10-11-2020,[46310],,24 LONGLEY ROAD,GILLINGHAM,ME8 7RT,RAINHAM,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & S DIRECT FOODS LIMITED,SC734545,Active,ltd,,06-06-2022,[46310],,C/O ASKARI & CO LIMITED,GLASGOW,G41 2LL,162 DARNLEY STREET,Scotland,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & S EXOTIC LTD,8673079,Active,ltd,,03-09-2013,[46310],,36 WARWICK GARDENS,ILFORD,IG1 4LE,,Essex,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & Z FRESH LTD,12400985,Active,ltd,,13-01-2020,[46310],,3 PRIORY STREET,LONDON,E3 3BU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A A & EVA LIMITED,7723236,Active,ltd,,29-07-2011,[46310],,1ST FLOOR,LONDON,E1 1JE,112-116 WHITECHAPEL ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A B FRUITS LIMITED,5651085,Active,ltd,,12-12-2005,[46310],,27 ST. CUTHBERTS STREET,BEDFORD,MK40 3JG,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A GOMEZ LIMITED,2446884,Active,ltd,,27-11-1989,[46310],,COLDHARBOUR LANE,CANTERBURY,CT4 5HL,BRIDGE,Kent,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A IMPORT EXPORT LTD,13525484,Active - Proposal to Strike off,ltd,,22-07-2021,[46310],,"VINCENT COURT, NO. 21 GREEN LANE",LONDON,NW4 2AN,LONDON,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A J FRESH PRODUCE (MIDLANDS) LIMITED,13691258,Active,ltd,,20-10-2021,[46310],,72 TEMPERANCE STREET,MANCHESTER,M12 6HU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
