company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A J WEBB & SON (SHEFFIELD) LTD,3146578,Active,ltd,,10-01-1996,[46310],,UNIT 1 SOUTH YORKSHIRE FRESH,PARKWAY DRIVE SHEFFIELD,S9 4WN,PRODUCE & FLOWER CENTRE,South Yorkshire,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A K EXOTIC UK LTD,8245542,Active,ltd,,09-10-2012,[46310],,11 SPRINGWOOD AVENUE,HUDDERSFIELD,HD1 4BG,SPRINGWOOD,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A M PRODUCE LIMITED,2872885,Active,ltd,,17-11-1993,[46310],,1 KENNEDY CLOSE,PINNER,HA5 4HL,HATCH END,Middlesex,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A MCKEOWN & SONS LIMITED,NI070794,Active,ltd,,16-10-2008,[46310],,5 SUGAR ISLAND ROAD,PORTADOWN,BT63 5PD,BLEARY,County Down,NORTHERN IRELAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A P DELIVERY & DISTRIBUTION LTD,13988365,Active,ltd,,19-03-2022,[46310],,LEIGH BROW HOUSE LEIGH BROW,PRESTON,PR5 5QZ,LOSTOCK HALL,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A S FRESH PRODUCE LIMITED,8698234,Active,ltd,,19-09-2013,[46310],,90 MILL LANE,LONDON,NW6 1NL,WEST HAMPSTEAD,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A S GREEN PRODUCE LIMITED,11411556,Active,ltd,,12-06-2018,[46310],,ROOK ROW FARM MOOREND CROSS,MALVERN,WR13 5PR,MATHON,Worcestershire,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A TO Z FRESH WEALDSTONE LTD,12776121,Active,ltd,,29-07-2020,[46310],,126 HIGH STREET,HARROW,HA3 7AL,WEALDSTONE,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&A SPITTAL LIMITED,SC536532,Active,ltd,,26-05-2016,[46310],,BERRYHILL FARM,CUMNOCK,KA18 2NB,AUCHINLECK,Ayrshire,SCOTLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&C PRODUCE LIMITED,13143224,Active,ltd,,19-01-2021,[46310],,42 BIDDESTONE ROAD,LONDON,N7 9RA,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&J LONDON LTD,13482091,Active,ltd,,29-06-2021,[46310],,1 WATFORD WAY,HENDON,NW4 3JS,,London,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&M AGGRO IMPORTS UK LTD,13330294,Active,ltd,,13-04-2021,[46310],,332 DUNSMORE AVENUE,COVENTRY,CV3 3HB,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&N WHOLESALE LTD,7126624,Active,ltd,,15-01-2010,[46310],,23 TROWBRIDGE GARDENS,LUTON,LU2 7JY,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&Q COMMERCE LTD,14427008,Active,ltd,,18-10-2022,[46310],,FLAT 1,LONDON,SE25 5QF,2 SELHURST ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&V RETAIL LTD,12971351,Active,ltd,,23-10-2020,[46310],,38 WEST AVENUE,SOUTHALL,UB1 2AP,,Middlesex,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A. CAMACHO, U.K. LIMITED",4435852,Active,ltd,,10-05-2002,[46310],,UNITS 1 AND 2 FIELD VIEW BAYNARDS GREEN BUSINESS PARK,BICESTER,OX27 7SG,BAYNARDS GREEN,Oxfordshire,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. PENNINGTON (STRETFORD) LIMITED,1431966,Active,ltd,,21-06-1979,[46310],,"FIRST FLOOR, MERCHANT EXCHANGE",MACCLESFIELD,SK11 6JX,WATERS GREEN,Chesire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. S.  FRUIT & VEG LIMITED,7848451,Active,ltd,,15-11-2011,[46310],,UNIT 20 BIRMINGHAM WHOLESALE MARKET,BIRMINGHAM,B6 7EU,"NOBEL WAY, 7 THE HUB",West Midlands,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. W. DUNCOMBE & SON LIMITED,5442221,Active,ltd,,04-05-2005,[46310],,1 MARKET PLACE,BRACKLEY,NN13 7AB,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.CARMICHAEL & CO.LIMITED,370929,Active,ltd,,28-11-1941,[46310],,NEWHAVEN 3 HUMBERDALE CLOSE,NORTH FERRIBY,HU14 3NS,"TRANBY LANE, SWANLAND",North Humberside,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.E. LENTON LIMITED,473649,Active,ltd,,06-10-1949,[46310],,CHURCH END,BOSTON,PE22 8NE,FRISKNEY,Lincolnshire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.EAMES LIMITED,335443,Active,ltd,,03-01-1938,[46310],,COMPACTOR HOUSE BILLINGSGATE MARKET,LONDON,E14 5ST,TRAFALGAR WAY,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.G. AXTON & SONS (WHOLESALE) LIMITED,4631777,Active,ltd,,09-01-2003,[46310],,13 HURSLEY ROAD,EASTLEIGH,SO53 2FW,CHANDLERS FORD,Hampshire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.G. THAMES HOLDINGS LIMITED,987311,Active,ltd,,19-08-1970,[46310],,THAMES HOUSE,CRAYFORD,DA1 4QP,THAMES ROAD,Kent,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.K FRUIT & VEG LTD,12527765,Active,ltd,,20-03-2020,[46310],,2 ONYX CLOSE,CRAWLEY,RH10 3GH,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.P.S. SALADS LIMITED,5975348,Active,ltd,,23-10-2006,[46310],,ENTERPRISE HOUSE,WILMSLOW,SK9 1PT,97 ALDERLEY ROAD,Cheshire,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.R'S FRUIT 'N' VEG LIMITED,14084924,Active,ltd,,04-05-2022,[46310],,60 WATLING STREET,RADLETT,WD7 7NN,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.S.H. IMPORTS (UK) LIMITED,7009683,Active,ltd,,04-09-2009,[46310],,214 LOWER ADDISCOMBE ROAD,CROYDON,CR0 7AB,,Surrey,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.W. CAVANAGH (SPITALFIELDS) LIMITED,2050658,Active,ltd,,29-08-1986,[46310],,CBW LLP - FLOOR 3,LONDON,E1 8NN,66 PRESCOT STREET,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1 FRUIT AND VEG LTD,11884934,Active - Proposal to Strike off,ltd,,15-03-2019,[46310],,20-22 WENLOCK ROAD,LONDON,N1 7GU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2B1011 WHOLESALES LIMITED,14466713,Active,ltd,,07-11-2022,[46310],,37 AVENONS ROAD,LONDON,E13 8HU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2Z FRUIT & VEG LTD,11791149,Active,ltd,,28-01-2019,[46310],,"UNIT C,",BRISTOL,BS2 0YA,"126 ALBERT ROAD,",,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2Z MERCHANDISE LTD,12596436,Active,ltd,,12-05-2020,[46310],,UNIT 54C PRINCESS MARGARET ROAD,TILBURY,RM18 8RH,EAST TILBURY,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA EXOTICS LTD,13127866,Active,ltd,,12-01-2021,[46310],,72 BANCROFT CHASE,HORNCHURCH,RM12 4DR,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA FOOD SUPPLY CENTRE LTD,14108289,Active,ltd,,16-05-2022,[46310],,214 MONEGA ROAD,LONDON,E12 6TS,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA FRUITS & NUTS LIMITED,13205049,Active,ltd,,16-02-2021,[46310],,25 HALL ROAD,LONDON,E6 2NG,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA PRODUCE (LONDON) LIMITED,12575315,Active,ltd,,28-04-2020,[46310],,2 POLLARD ROAD,LONDON,N20 0UB,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA PRODUCE LIMITED,12574594,Active,ltd,,27-04-2020,[46310],,2 POLLARD ROAD,LONDON,N20 0UB,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA SALADS LIMITED,9684706,Active,ltd,,14-07-2015,[46310],,UNIT 25 ROBINSONS INDUSTRIAL ESTATE,DERBY,DE23 8NL,SHAFTESBURY STREET,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA VEG LIMITED,14508846,Active,ltd,,28-11-2022,[46310],,161 ELM GROVE,SOUTHSEA,PO5 1LU,ELM GROVE,Hampshire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAC & CO LTD,8799116,Active,ltd,,02-12-2013,[46310],,28 MONARCH MEWS,LONDON,SW16 3HN,CROWN LANE,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAM FOOD SERVICES LTD,SC675219,Active,ltd,,23-09-2020,[46310],,104 ABERCORN STREET,PAISLEY,PA3 4AY,,,SCOTLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AANS GLOBE LIMITED,13160289,Active,ltd,,26-01-2021,[46310],,90 MILL LANE,LONDON,NW6 1NL,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARYASMI CONSULTANCY LTD,6603086,Active,ltd,,27-05-2008,[46310],,63 MASWELL PARK ROAD,HOUNSLOW,TW3 2DP,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAYKINZE LTD,13370112,Active,ltd,,30-04-2021,[46310],,UNIT 7B CRANBROOK HOUSE,ILFORD,IG1 4PG,61 CRANBROOK ROAD,Essex,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB CATERING (BLACKBURN) LTD,11427374,Active,ltd,,21-06-2018,[46310],,455 WHALLEY NEW ROAD,BLACKBURN,BB1 9SP,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB FRUIT & VEG LTD,12208331,Active,ltd,,16-09-2019,[46310],,26 OWEN WAY,LONDON,NW10 0TU,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBAS KHAN LTD,5678643,Active - Proposal to Strike off,ltd,,17-01-2006,[46310],,42 ALBERT ROAD,BIRMINGHAM,B33 9BD,STECHFORD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBEY FRUIT & VEG LTD,12133791,Active,ltd,,01-08-2019,[46310],,34A VICTORIA ROAD,SURBITON,KT6 4JL,34 VICTORIA ROAD,Surrey,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBEY POTATOES LIMITED,SC699194,Active,ltd,,19-05-2021,[46310],,C/O GRAMPIAN GROWERS LTD,MONTROSE,DD10 9LD,LOGIE,Angus,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBEY PRODUCE LTD,1516331,Active,ltd,,08-09-1980,[46310],,NENE LODGE FUNTHAMS LANE,PETERBOROUGH,PE7 2PB,WHITTLESEY,Cambridgeshire,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBEY VIEW PRODUCER ORGANISATION LIMITED,3616148,Active,ltd,,14-08-1998,[46310],,ABBEY VIEW NURSERY,WALTHAM ABBEY,EN9 2AG,GALLEY HILL ROAD,Essex,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBIEDAN INTERNATIONAL LIMITED,14226178,Active,ltd,,11-07-2022,[46310],,160 CARTMELL ROAD,SHEFFIELD,S8 0NN,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBITAL LIMITED,13201332,Active,ltd,,15-02-2021,[46310],,82 REDDISH ROAD,STOCKPORT,SK5 7QU,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC STORES LTD,13867550,Active,ltd,,24-01-2022,[46310],,"14 BRADFORDS CLOSE, BRADFORDS CLOSE",BOTTISHAM,CB25 9DW,,Cambridgeshire,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC STUDYANDSERVICE LIMITED,11128941,Active,ltd,,02-01-2018,[46310],,UNIT 55,EALING,W5 2AA,4 SPRING BRIDGE ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABERDEEN AND STANTON LIMITED,622877,Active,ltd,,11-03-1959,[46310],,KELLEY & LOWE LTD GWYNFA HOUSE,DARTFORD,DA2 6EF,677 PRINCES ROAD,Kent,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI FOODS INTERNATIONAL LIMITED,14508894,Active,ltd,,28-11-2022,[46310],,7 BELL YARD,LONDON,WC2A 2JR,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIBARATH UK LIMITED,8581219,Active,ltd,,24-06-2013,[46310],,"FLAT 5,THE ODEON",BARKING,IG11 8RR,"22-30,LONGBRIDGE ROAD",,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABM FRESH UK LTD,13089134,Active,ltd,,18-12-2020,[46310],,EDWARD HOUSE,ELY,CB6 3NW,LANCASTER WAY BUSINESS PARK,Cambs,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNN FRESH UK LTD,11709880,Active,ltd,,04-12-2018,[46310],,BALFOUR BUSINESS CENTRE,ILFORD,IG1 1BF,390 - 392 HIGH ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSOLUTE ADVANTAGE FM LIMITED,9759060,Active - Proposal to Strike off,ltd,,02-09-2015,[46310],,BLAKE HOUSE,YORK,YO1 8QG,18 BLAKE STREET,North Yorkshire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABU BROTHER'S LTD,14029699,Active,ltd,,06-04-2022,[46310],,279 WHITECHAPEL ROAD,LONDON,E1 1BY,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC EMPIRE LIMITED,13198990,Active,ltd,,12-02-2021,[46310],,1ST FLOOR,LONDON,EC2A 2EA,44 WORSHIP STREET,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE EXOTICS LTD,13360437,Active,ltd,,27-04-2021,[46310],,80 BIRCH HALL LANE,MANCHESTER,M13 0XZ,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE FOODS INTERNATIONAL LTD,13704705,Active,ltd,,26-10-2021,[46310],,90-92 RYE LANE,LONDON,SE15 4RZ,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE FRESH LIMITED,8929286,Active,ltd,,07-03-2014,[46310],,THE WAFFLE PROJECT 1156 STRATFORD ROAD,BIRMINGHAM,B28 8AF,HALL GREEN,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH IMPORTS LTD,13608827,Active,ltd,,08-09-2021,[46310],,5 LONDON ROAD,GILLINGHAM,ME8 7RG,RAINHAM,Kent,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKIO (UK) LIMITED,7683848,Active,ltd,,27-06-2011,[46310],,ACKIO UK MILLENNIUM WAY,EVESHAM,WR11 1GR,VALE PARK,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP QUALITY PRODUCE LIMITED,12550599,Active,ltd,,07-04-2020,[46310],,WAREHOUSE REAR OF 5B ROWOOD ESTATE,BICESTER,OX26 4PP,MURDOCK ROAD,Oxfordshire,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACQUIRE CONSULTANCY LIMITED,10517402,Active - Proposal to Strike off,ltd,,08-12-2016,[46310],,PARK HOUSE,LEEDS,LS7 2BP,WILMINGTON STREET,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTON GREENERY LIMITED,11563462,Active,ltd,,11-09-2018,[46310],,UNIT 3,LONDON,W3 8BL,14 COLVILLE ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM FARM FRESH LIMITED,12782596,Active,ltd,,31-07-2020,[46310],,FARM FRESH 53 TIPPETT COURT,STEVENAGE,SG1 1XR,LONDON ROAD,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMS APPLE FRESH PRODUCE LIMITED,7997233,Active,ltd,,20-03-2012,[46310],,61A HIGH STREET SOUTH,RUSHDEN,NN10 0RA,,,ENGLAND,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMS LEICESTER LIMITED,12142647,Active - Proposal to Strike off,ltd,,07-08-2019,[46310],,12 EVINGTON CLOSE,LEICESTER,LE5 5PJ,,,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMS POTATOES LIMITED,5560819,Active,ltd,,12-09-2005,[46310],,RIDGEBRIDGE COTTAGE RIDGE ROAD,LEEDS,LS25 4BB,MICKLEFIELD,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMS WHOLESALE (WEST SUSSEX) LIMITED,5827389,Voluntary Arrangement,ltd,,24-05-2006,[46310],,ASM HOUSE,HASSOCKS,BN6 8QL,103A KEYMER ROAD,West Sussex,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMS WHOLESALE ENTERPRISES LTD,7440918,Active,ltd,,16-11-2010,[46310],,ASM HOUSE,HASSOCKS,BN6 8QL,103A KEYMER ROAD,West Sussex,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMS WHOLESALE FOOD SERVICE LTD,8286736,Active,ltd,,08-11-2012,[46310],,ASM HOUSE,HASSOCKS,BN6 8QL,103A KEYMER ROAD,West Sussex,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMS WHOLESALE SOUTHERN GROUP LTD,8448234,Active,ltd,,18-03-2013,[46310],,ASM HOUSE,HASSOCKS,BN6 8QL,103A KEYMER ROAD,West Sussex,UNITED KINGDOM,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDEY & SON (WESTERN INTERNATIONAL) LIMITED,602714,Active,ltd,,14-04-1958,[46310],,P35 WESTERN INTERNATIONAL,SOUTHALL MIDDLESEX,UB2 5XJ,MARKET,,,46310,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
